"","Areaname","STCOU","LND010190F","LND010190D","LND010190N1","LND010190N2","LND010200F","LND010200D","LND010200N1","LND010200N2","LND110180F","LND110180D","LND110180N1","LND110180N2","LND110190F","LND110190D","LND110190N1","LND110190N2","LND110200F","LND110200D","LND110200N1","LND110200N2","LND110210F","LND110210D","LND110210N1","LND110210N2","LND210190F","LND210190D","LND210190N1","LND210190N2","LND210200F","LND210200D","LND210200N1","LND210200N2"
"85","Lake and Peninsula, AK","02164",0,29008.24,"0000","0000",0,30906.96,"0000","0000",2,0,"5081","0000",0,23632.32,"0000","0000",0,23781.96,"0000","0000",0,23652.01,"0000","0000",0,5375.92,"0000","0000",0,7125,"0000","0000"
"86","Matanuska-Susitna, AK","02170",0,25232.41,"0000","0000",0,25259.79,"0000","0000",0,24502,"0000","0000",0,24693.64,"0000","0000",0,24681.54,"0000","0000",0,24607.9,"0000","0000",0,538.77,"0000","0000",0,578.25,"0000","0000"
"87","Nome, AK","02180",0,28276.17,"0000","0000",0,28283.33,"0000","0000",0,23871,"0000","0000",0,23012.56,"0000","0000",0,23000.91,"0000","0000",0,22961.76,"0000","0000",0,5263.61,"0000","0000",0,5282.42,"0000","0000"
"88","North Slope, AK","02185",0,93823.1,"0000","0000",0,94762.64,"0000","0000",0,90955,"0000","0000",0,87860.49,"0000","0000",0,88817.12,"0000","0000",0,88695.41,"0000","0000",0,5962.61,"0000","0000",0,5945.53,"0000","0000"
"89","Northwest Arctic, AK","02188",0,40660.96,"0000","0000",0,40762,"0000","0000",0,31593,"0000","0000",0,35862.47,"0000","0000",0,35898.34,"0000","0000",0,35572.58,"0000","0000",0,4798.49,"0000","0000",0,4863.66,"0000","0000"
"90","Petersburg, AK","02195",1,8973.77,"5090","0000",1,9021.21,"5090","0000",1,5965,"5090","0000",1,5808.53,"5090","0000",1,5834.94,"5090","0000",0,3281.98,"0000","0000",1,3165.24,"5090","0000",1,3186.27,"5090","0000"
"91","Prince of Wales-Hyder, AK","02198",0,12566.41,"0000","0000",0,12706.3,"0000","0000",0,7660,"0000","0000",0,7324.47,"0000","0000",0,7410.62,"0000","0000",0,3922.87,"0000","0000",0,5241.94,"0000","0000",0,5295.67,"0000","0000"
"92","Sitka, AK","02220",0,4849.75,"0000","0000",0,4811.53,"0000","0000",0,2938,"0000","0000",0,2881.48,"0000","0000",0,2873.98,"0000","0000",0,2870.34,"0000","0000",0,1968.27,"0000","0000",0,1937.55,"0000","0000"
"93","Skagway, AK","02230",2,0,"5084","0000",2,0,"5084","0000",2,0,"5084","0000",2,0,"5084","0000",2,0,"5084","0000",0,452.33,"0000","0000",2,0,"5084","0000",2,0,"5084","0000"
"94","Southeast Fairbanks, AK","02240",0,26235.44,"0000","0000",0,25061.19,"0000","0000",0,24169,"0000","0000",0,25994.11,"0000","0000",0,24814.86,"0000","0000",0,24768.81,"0000","0000",0,241.33,"0000","0000",0,246.33,"0000","0000"
"95","Valdez-Cordova, AK","02261",0,43515.67,"0000","0000",0,40199.15,"0000","0000",0,39229,"0000","0000",0,36945.35,"0000","0000",0,34319.1,"0000","0000",0,34239.88,"0000","0000",0,6570.32,"0000","0000",0,5880.05,"0000","0000"
"96","Wade Hampton, AK","02270",0,19680.08,"0000","0000",0,19669.24,"0000","0000",0,17816,"0000","0000",0,17124.08,"0000","0000",0,17193.5,"0000","0000",0,17081.43,"0000","0000",0,2556,"0000","0000",0,2475.74,"0000","0000"
"97","Wrangell, AK","02275",2,0,"5090","0000",2,0,"5090","0000",2,0,"5090","0000",2,0,"5090","0000",2,0,"5090","0000",0,2541.48,"0000","0000",2,0,"5090","0000",2,0,"5090","0000"
